BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
294,closed,09/21/18,complete,07/17,google maps,NA,NA,4500-block of Suburban Tracks at North Taylor Ave,FALSE,-90.252446353843,38.65188443331531
195,closed,09/21/18,complete,07/15,google maps,NA,NA,5900-block of Hodiamont Track at Hamilton Blvd,FALSE,-90.28971543940885,38.6599380416953
297,closed,09/21/18,complete,05/31/17,in-person,NA,NA,"1100-block of Ohio Ave, mid-block",FALSE,-90.22131938633302,38.621467068843906
298,closed,09/21/18,complete,05/15,google maps,NA,NA,4700-block of Suburban Tracks at Walton Ave,FALSE,-90.25697432614331,38.65390898246505
299,closed,09/21/18,complete,05/15,google maps,NA,NA,4800-block of Suburban Tracks at Walton Ave,FALSE,-90.2571886996989,38.65397518203758
295,closed,09/21/18,complete,07/17,google maps,NA,NA,5600-block of Enright Ave at Ruth C. Porter Mall,FALSE,-90.2845172996693,38.65515200993501
296,closed,09/21/18,complete,07/17,google maps,NA,NA,5600-block of Enright Ave at Ruth C. Porter Mall,FALSE,-90.28389007932479,38.6550555548492
300,closed,09/21/18,complete,05/28/17,in-person,NA,NA,3900-block of Westminster Pl at Vandeventer Ave,FALSE,-90.2400186503986,38.640399286759056
284,closed,09/21/18,complete,06/25/17,in-person,NA,NA,"401-block of Belt Ave, mid-block",FALSE,-90.27803904913361,38.64985182722008
301,closed,09/21/18,complete,08/17,google maps,NA,NA,5200-block of Westminster Pl at Union Blvd,FALSE,-90.27351860581358,38.65039550294619
302,closed,09/21/18,complete,08/17,google maps,NA,NA,35-block of Portland Pl at Union Blvd,FALSE,-90.27403754506707,38.647837071474214
303,closed,09/21/18,complete,08/17,google maps,NA,NA,35-block of Westmoreland Pl at Union Blvd,FALSE,-90.27424041307091,38.64641382556235
304,closed,09/21/18,complete,05/17,google maps,NA,NA,4900-block of Pershing Ave at North Kingshighway Blvd,FALSE,-90.26426918020493,38.64677152731864
305,closed,09/21/18,complete,05/17,google maps,NA,NA,4900-block of Maryland Ave at North Kingshighway Blvd,FALSE,-90.26451515059955,38.64534060562796
306,closed,09/21/18,complete,05/17,google maps,NA,NA,"5000-block of Westminster Pl, mid-block",FALSE,-90.26419160597845,38.649424093117275
307,closed,09/21/18,complete,07/17,google maps,NA,NA,"4400-block of Pershing Ave, mid-block",FALSE,-90.25513991067429,38.644877864305734
308,closed,09/21/18,complete,07/17,google maps,NA,NA,"300-block of Walton Ave, mid-block",FALSE,-90.25850665402675,38.64665079547611
309,closed,09/21/18,complete,08/17,google maps,NA,NA,"4500-block of Arco Ave at South Kingshighway Blvd
",FALSE,-90.26434535410633,38.62936120284023
310,closed,09/21/18,complete,07/17,google maps,NA,NA,1700-block of Lawrence St at Detonty St,FALSE,-90.24781235231524,38.61704461535785
311,closed,09/21/18,complete,06/16,google maps,NA,NA,1700-block of Lawrence St at Lafayette Ave,FALSE,-90.24769250548164,38.61781026745104
312,closed,09/21/18,partial,05/20/17,in-person,NA,NA,3800-block of Russell Blvd at South Spring Ave,FALSE,-90.24294682459339,38.613736316981495
313,closed,09/21/18,partial,05/20/17,in-person,NA,NA,3800-block of Castleman Ave at South Spring Ave,FALSE,-90.24282633744458,38.614543429217974
314,closed,09/21/18,complete,05/26/17,in-person,NA,NA,4000-block of Blaine Ave at Thurman Ave,FALSE,-90.24990584110404,38.619989617837994
315,closed,09/21/18,partial,08/17,google maps,NA,NA,4500-block of Chouteau Ave at South Kingshighway Blvd,FALSE,-90.26397531454064,38.63113767118408
316,closed,09/21/18,complete,08/17,google maps,NA,NA,4500-block of Gibson Ave at South Kingshighway Blvd,FALSE,-90.26416441701711,38.63027991942041
317,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"3200-block of Hartford St, mid-block",FALSE,-90.23674217706102,38.601117646809065
318,closed,09/21/18,complete,05/29/17,in-person,NA,NA,2800-block of Accomac St at California Ave,FALSE,-90.22685080273362,38.60993735744504
319,closed,09/21/18,complete,05/31/17,in-person,NA,NA,"2700-block of Caroline St, mid-block",FALSE,-90.22349252340933,38.619749360292055
320,closed,09/21/18,complete,05/31/17,in-person,NA,NA,2700-block of Caroline St at Ohio Ave,FALSE,-90.22209903106412,38.61945578471303
321,closed,09/21/18,complete,07/17,google maps,NA,NA,Intersection of Chamberlain Ave and Belt Ave,FALSE,-90.27801135513656,38.66068049950845
322,closed,09/21/18,complete,08/17,google maps,NA,NA,5200-block of Hodiamont Tracks at Union Blvd,FALSE,-90.27230342745474,38.65802787807481
323,closed,09/21/18,complete,07/17,google maps,NA,NA,5300-block of Bartmer Ave at Page Blvd,FALSE,-90.27256795696994,38.660774677114155
324,closed,09/21/18,complete,07/21/18,in-person,NA,NA,6100-block of Emma Ave at Mimika Ave,FALSE,-90.25610370393203,38.70681484446299
325,closed,09/21/18,partial,07/17,google maps,NA,NA,"Extension of 4100-block of Warne Ave, south of Kossuth Ave",FALSE,-90.22204656212443,38.66818279357074
326,closed,09/21/18,complete,07/17,google maps,NA,NA,4200-block of North Market St at Whittier St,FALSE,-90.23658919915304,38.65695321417609
327,closed,09/21/18,complete,07/17,google maps,NA,NA,4200-block of Garfield Ave at Goode Ave,FALSE,-90.23871727311622,38.65684386646985
328,closed,09/21/18,complete,05/15,google maps,NA,NA,56-block of Lewis Pl at Walton Ave,FALSE,-90.25677624456375,38.655012278342646
329,closed,09/21/18,complete,07/17,google maps,NA,NA,4300-block of Maryland Ave at North Boyle Ave,FALSE,-90.25028323468409,38.64241500661753
330,closed,09/21/18,partial,05/28/17,in-person,NA,NA,4200-block of Olive St at North Boyle Ave,FALSE,-90.24818572644715,38.64516146670791
331,closed,09/21/18,complete,07/16,google maps,NA,NA,4000-block of North 20th St at Newhouse Ave,FALSE,-90.20476104931286,38.66405975379452
332,closed,09/21/18,complete,09/14,google maps,NA,NA,3900-block of North 22nd St at Newhouse Ave,FALSE,-90.20783043156811,38.662364553754436
333,open,04/06/18,NA,09/14,google maps,NA,NA,NA,NA,-90.20221944759818,38.656953298876715
334,closed,09/21/18,complete,07/17,google maps,NA,NA,2800-block of Rauschenbach Ave St at Hebert St,FALSE,-90.20329300733702,38.65501709169669
335,closed,09/21/18,complete,07/16,google maps,NA,NA,"1200-block of East 14th St, mid-block",FALSE,-90.19635464137963,38.63775922948988
